Title,Text
A Note on Valuation in Private Equity,paul a gompers a note on valuation in private equity introduction valuation is the central concept in finance while investors believe that the process of valuation is difficult and fraught with error and assumptions in the context of private equity valuation in approached with rigor and care given the high leverage and substantial sums of investor capital at risk getting the valuation right is perhaps more critical than in any other setting without methods to assess value capital budgeting becomes impossible while elements of valuation remain an art finance theory and its implementation through valuation methodologies has important implications for private equity practice when reasonable assumptions are made the techniques discussed in this note can lead to better investment decisionmaking in whatever setting you work the margin for error in private equity however is much smaller than it is in other contexts maximizing the probability that the right decision is made is the goal of proper valuation methodologies valuation methodologies can be widely applied to analyze many of the decisions that a firm faces anything that might affect the size or the timing of a firms cash flow or changes its riskiness affects the firms value whether it is an
A Note on Valuation in Private Equity,private equity practice when reasonable assumptions are made the techniques discussed in this note can lead to better investment decisionmaking in whatever setting you work the margin for error in private equity however is much smaller than it is in other contexts maximizing the probability that the right decision is made is the goal of proper valuation methodologies valuation methodologies can be widely applied to analyze many of the decisions that a firm faces anything that might affect the size or the timing of a firms cash flow or changes its riskiness affects the firms value whether it is an existing public company or division an expanding young company a new research project a new production facility an acquisition target or a new product launch value is the fundamental currency that compares all of an investors potential decisions the ability to make valueincreasing decisions is clearly enhanced by a thorough understanding of the material in this note in addition a well thought out valuation will provide important information that is useful in managing the firm and monitoring its progress this note will discuss various valuation techniques and when they are appropriate private equity managers employ many if not all of
A Note on Valuation in Private Equity,existing public company or division an expanding young company a new research project a new production facility an acquisition target or a new product launch value is the fundamental currency that compares all of an investors potential decisions the ability to make valueincreasing decisions is clearly enhanced by a thorough understanding of the material in this note in addition a well thought out valuation will provide important information that is useful in managing the firm and monitoring its progress this note will discuss various valuation techniques and when they are appropriate private equity managers employ many if not all of these valuation methodologies during the course of evaluating an investment opportunity the theory behind much of this discussion will be glossed over in order to keep this note to a reasonable length a detailed analysis and discussion of these issues would occupy a large book the reference section of this note contains a detailed list of texts and articles that explore these issues in more detail many of the references are highly specialized and can provide a deep understanding of the theory behind the methodologies this note is intended to present the reason for and the mechanics of several approaches
A Note on Valuation in Private Equity,these valuation methodologies during the course of evaluating an investment opportunity the theory behind much of this discussion will be glossed over in order to keep this note to a reasonable length a detailed analysis and discussion of these issues would occupy a large book the reference section of this note contains a detailed list of texts and articles that explore these issues in more detail many of the references are highly specialized and can provide a deep understanding of the theory behind the methodologies this note is intended to present the reason for and the mechanics of several approaches to valuation and to give you a sense of when the various techniques are appropriate the interested student should refer to the appropriate source for further reading the rest of this note is divided into three sections the note starts by discussing two approaches to discounted cash flow analysis capital cash flows ccf and weighted average cost of capital wacc these methods form the basis of other techniques that are applied and should be understood fully while much of this should be familiar from your first year finance course this overview provides a quick refresher and provides a foundation for
A Note on Valuation in Private Equity,to valuation and to give you a sense of when the various techniques are appropriate the interested student should refer to the appropriate source for further reading the rest of this note is divided into three sections the note starts by discussing two approaches to discounted cash flow analysis capital cash flows ccf and weighted average cost of capital wacc these methods form the basis of other techniques that are applied and should be understood fully while much of this should be familiar from your first year finance course this overview provides a quick refresher and provides a foundation for much of the rest of the note and the course in general second the note examines lbo valuation models these models are employed by most private equity organizations in their investment decisionmaking they can best be viewed as an internal rate of return irr analysis they start by projecting a certain equity investment upfront assume growth in earningscash flow over some time horizon typically five years then assume some sale or exit from the company at a predetermined exit multiple the irr of these entry and exit values is then compared to the firms hurdle rate ie the return it
A Note on Valuation in Private Equity,much of the rest of the note and the course in general second the note examines lbo valuation models these models are employed by most private equity organizations in their investment decisionmaking they can best be viewed as an internal rate of return irr analysis they start by projecting a certain equity investment upfront assume growth in earningscash flow over some time horizon typically five years then assume some sale or exit from the company at a predetermined exit multiple the irr of these entry and exit values is then compared to the firms hurdle rate ie the return it desires on its successful investments the note will discuss a variety of factors that influence a firms hurdle rate finally the note discusses comparable companies valuation methodologies often referred to as multiples valuation methods these methods are quick and dirty approaches to assessing value implicit in every comparable companies valuation are assumptions of a dcf valuation this note will help you take into consideration what those implicit assumptions are in order to employ more thoughtful comparable companies approaches discounted cash flow valuation cash flows both the ccf and wacc methods of valuation start by determining cash flows from operations these
A Note on Valuation in Private Equity,desires on its successful investments the note will discuss a variety of factors that influence a firms hurdle rate finally the note discusses comparable companies valuation methodologies often referred to as multiples valuation methods these methods are quick and dirty approaches to assessing value implicit in every comparable companies valuation are assumptions of a dcf valuation this note will help you take into consideration what those implicit assumptions are in order to employ more thoughtful comparable companies approaches discounted cash flow valuation cash flows both the ccf and wacc methods of valuation start by determining cash flows from operations these cash flows are prefinancing ie they are independent of the capital structure of the firm one common mistake that students make when calculating cash flows for ccf or wacc is to take out interest payments from the cash flows and call that number cash flow to equity holders while this approach has merit it is referred to as equity cash flow valuation it does not easily allow an individual to calculate the value of the firm independent of financing and under various financing scenarios equation 1 gives a quick refresher on how to calculate cash flows subscripts denote time periods
A Note on Valuation in Private Equity,cash flows are prefinancing ie they are independent of the capital structure of the firm one common mistake that students make when calculating cash flows for ccf or wacc is to take out interest payments from the cash flows and call that number cash flow to equity holders while this approach has merit it is referred to as equity cash flow valuation it does not easily allow an individual to calculate the value of the firm independent of financing and under various financing scenarios equation 1 gives a quick refresher on how to calculate cash flows subscripts denote time periods 1 cf cash flow ebit earnings before interest and taxes t corporate tax rate depr depreciation capex capital expenditures wk increases in working capital other increases in taxes payable wages payable etc these cash flows are what are economically significant to the firm and to an investor as will be discussed below estimating cash flows is far more important than determining the discount rate people valuing risky projects have a tendency to increase the discount rate if they feel that the projects returns are uncertain this fudge factor addition to the discount rate should always be avoided the critical element
A Note on Valuation in Private Equity,1 cf cash flow ebit earnings before interest and taxes t corporate tax rate depr depreciation capex capital expenditures wk increases in working capital other increases in taxes payable wages payable etc these cash flows are what are economically significant to the firm and to an investor as will be discussed below estimating cash flows is far more important than determining the discount rate people valuing risky projects have a tendency to increase the discount rate if they feel that the projects returns are uncertain this fudge factor addition to the discount rate should always be avoided the critical element of ccf and wacc analysis is to have unbiased estimates of free cash flows one way to approach this estimation is scenario analysis valuing cash flows with the ccf method the capital cash flows ccf method of valuation takes cash flows estimates and calculates the value of an unlevered all equity firm the value of the debt tax shield is added to the present value of future cash flows in an unlevered firm ccf also adds other elements of value enhancement if they are present eg present value of investment tax credits etc in order to calculate the value of
A Note on Valuation in Private Equity,of ccf and wacc analysis is to have unbiased estimates of free cash flows one way to approach this estimation is scenario analysis valuing cash flows with the ccf method the capital cash flows ccf method of valuation takes cash flows estimates and calculates the value of an unlevered all equity firm the value of the debt tax shield is added to the present value of future cash flows in an unlevered firm ccf also adds other elements of value enhancement if they are present eg present value of investment tax credits etc in order to calculate the value of the firm the first order of business is to forecast cash flows from equation 1 after cash flows for periods 1 to t are obtained a terminal value tv is calculated the firm is assumed to grow forever at the rate g and the appropriate discount rate for the unlevered firm more below is determined by the riskiness of the firms assets ra 2 other methods of calculating a tv are possible most of you should be familiar with salvage value analysis from your introductory finance course in the salvage value method the tv is just the sum of recoverable
A Note on Valuation in Private Equity,the firm the first order of business is to forecast cash flows from equation 1 after cash flows for periods 1 to t are obtained a terminal value tv is calculated the firm is assumed to grow forever at the rate g and the appropriate discount rate for the unlevered firm more below is determined by the riskiness of the firms assets ra 2 other methods of calculating a tv are possible most of you should be familiar with salvage value analysis from your introductory finance course in the salvage value method the tv is just the sum of recoverable value in the final year making sure to take tax considerations into account a brief comment on growth rates is appropriate first always check the reality of your growth rate assumption remember that if you are using nominal discount rates your terminal growth rate should reflect your beliefs about inflation real growth is the nominal growth rate minus the expected inflation rate if you get large negative or large positive numbers what does that imply is the business going to shrink in real terms is it going to grow in real terms forever we often assume a growth rate slightly
A Note on Valuation in Private Equity,value in the final year making sure to take tax considerations into account a brief comment on growth rates is appropriate first always check the reality of your growth rate assumption remember that if you are using nominal discount rates your terminal growth rate should reflect your beliefs about inflation real growth is the nominal growth rate minus the expected inflation rate if you get large negative or large positive numbers what does that imply is the business going to shrink in real terms is it going to grow in real terms forever we often assume a growth rate slightly larger than the expected inflation rate to compensate for faster growth now but zero real growth in the future in the longrun when the longrun starts is dependent upon industry maturity firm strategy etc most firms will probably grow at a rate between that of inflation and the overall growth rate of the economy nominal gdp be aware that if your cash flow estimates are over a short period of time three years or less then the terminal value will drive your estimates of net present value valuation in which the terminal value represents a substantial majority of the value
